Rank,Release Group,Worldwide,Domestic,%,Foreign,%
159,My Salinger Year,"$394,777","$54,730",13.9%,"$340,047",86.1%
160,Dynasty Warriors,"$380,329",-,-,"$380,329",100%
161,The Seventh Day,"$377,749",-,-,"$377,749",100%
162,The United States vs. Billie Holiday,"$363,601",-,-,"$363,601",100%
163,Russian Yug,"$348,435",-,-,"$348,435",100%
164,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
165,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
166,Every Breath You Take,"$326,523",-,-,"$326,523",100%
167,Rising Wolf,"$323,756",-,-,"$323,756",100%
168,Dutch,"$323,167","$323,167",100%,-,-
169,Radhe,"$320,871",-,-,"$320,871",100%
170,Abominable 2021 Re-release,"$307,818","$110,000",35.7%,"$197,818",64.3%
171,Birth Time: The Documentary,"$306,281",-,-,"$306,281",100%
172,Kabadadaari,"$302,563",-,-,"$302,563",100%
173,Dawn Raid,"$295,955",-,-,"$295,955",100%
174,Locked Down,"$290,714",-,-,"$290,714",100%
175,The Water Man,"$290,286","$290,286",100%,-,-
176,Ginger's Tale,"$284,298",-,-,"$284,298",100%
177,Don't Heal Me,"$282,513",-,-,"$282,513",100%
178,American Skin,"$282,332","$282,332",100%,-,-
179,Young Adult Matters,"$279,643",-,-,"$279,643",100%
180,Cosmic Sin,"$278,547",-,-,"$278,547",100%
181,Top Gun 2021 Re-release,"$275,356","$260,951",94.8%,"$14,405",5.2%
182,The Only Way Out,"$268,590",-,-,"$268,590",100%
183,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
184,The Funeral Home,"$259,184",-,-,"$259,184",100%
185,Demon Hunter,"$258,608",-,-,"$258,608",100%
186,Harry Potter and the Goblet of Fire 2021 Re-release,"$257,479",-,-,"$257,479",100%
187,Vellam,"$233,364",-,-,"$233,364",100%
188,Sultan,"$232,111",-,-,"$232,111",100%
189,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
190,Limbo,"$221,875","$221,875",100%,-,-
191,Be My Kirill,"$204,850",-,-,"$204,850",100%
192,Rassegna Cinematografica,"$203,025",-,-,"$203,025",100%
193,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
194,SAS: Red Notice,"$198,432","$146,329",73.7%,"$52,103",26.3%
195,Go Back,"$190,002",-,-,"$190,002",100%
196,Sound of Metal,"$188,442",-,-,"$188,442",100%
197,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
198,Nayattu,"$185,586",-,-,"$185,586",100%
199,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
200,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
